Row,Column,Value
Genus:sp15,Genus:sp61,0.06449
Genus:sp15,Genus:sp62,0.06803
Genus:sp15,Genus:sp63,0.05834
Genus:sp15,Genus:sp64,0.03586
Genus:sp15,Genus:sp65,0.05993
Genus:sp15,Genus:sp66,0.05583
Genus:sp15,Genus:sp67,0.0656
Genus:sp15,Genus:sp68,0.0573
Genus:sp15,Genus:sp69,0.06487
Genus:sp15,Genus:sp7,0.04688
Genus:sp15,Genus:sp8,0.06177
Genus:sp15,Genus:sp9,0.05044
Genus:sp16,Genus:sp10,0.01696
Genus:sp16,Genus:sp11,0.04248
Genus:sp16,Genus:sp12,0.00995
Genus:sp16,Genus:sp13,0.04778
Genus:sp16,Genus:sp14,0.04393
Genus:sp16,Genus:sp15,0.06143
Genus:sp16,Genus:sp16,0.04666
Genus:sp16,Genus:sp17,0.05766
Genus:sp16,Genus:sp18,0.06161
Genus:sp16,Genus:sp19,0.01359
Genus:sp16,Genus:sp2,0.04221
Genus:sp16,Genus:sp20,0.04827
Genus:sp16,Genus:sp21,0.0115
Genus:sp16,Genus:sp22,0.01495
Genus:sp16,Genus:sp23,0.03669
Genus:sp16,Genus:sp24,0.04789
Genus:sp16,Genus:sp25,0.0378
Genus:sp16,Genus:sp26,0.06208
Genus:sp16,Genus:sp27,0.04109
Genus:sp16,Genus:sp28,0.0491
Genus:sp16,Genus:sp29,0.051
Genus:sp16,Genus:sp3,0.05195
Genus:sp16,Genus:sp30,0.04925
Genus:sp16,Genus:sp31,0.0497
Genus:sp16,Genus:sp32,0.06489
Genus:sp16,Genus:sp33,0.03933
Genus:sp16,Genus:sp34,0.05299
Genus:sp16,Genus:sp35,0.0501
Genus:sp16,Genus:sp36,0.06753
Genus:sp16,Genus:sp37,0.01217
Genus:sp16,Genus:sp38,0.03266
Genus:sp16,Genus:sp39,0.06397
Genus:sp16,Genus:sp4,0.01086
Genus:sp16,Genus:sp40,0.03756
Genus:sp16,Genus:sp41,0.04881
Genus:sp16,Genus:sp42,0.06173
Genus:sp16,Genus:sp43,0.04865
Genus:sp16,Genus:sp44,0.06034
Genus:sp16,Genus:sp45,0.05752
Genus:sp16,Genus:sp46,0.06153
Genus:sp16,Genus:sp47,0.05264
Genus:sp16,Genus:sp48,0.04858
Genus:sp16,Genus:sp49,0.04673
Genus:sp16,Genus:sp5,0.06141
Genus:sp16,Genus:sp50,0.05062
Genus:sp16,Genus:sp51,0.01391
Genus:sp16,Genus:sp52,0.06896
Genus:sp16,Genus:sp53,0.01506
Genus:sp16,Genus:sp54,0.05145
Genus:sp16,Genus:sp55,0.01158
Genus:sp16,Genus:sp56,0.04928
Genus:sp16,Genus:sp57,0.01283
Genus:sp16,Genus:sp58,0.04957
Genus:sp16,Genus:sp59,0.03495
Genus:sp16,Genus:sp6,0.04793
Genus:sp16,Genus:sp60,0.03354
Genus:sp16,Genus:sp61,0.03708
Genus:sp16,Genus:sp62,0.06172
Genus:sp16,Genus:sp63,0.03843
Genus:sp16,Genus:sp64,0.04926
Genus:sp16,Genus:sp65,0.03674
Genus:sp16,Genus:sp66,0.03325
Genus:sp16,Genus:sp67,0.01088
Genus:sp16,Genus:sp68,0.03114
Genus:sp16,Genus:sp69,0.04711
Genus:sp16,Genus:sp7,0.04406
Genus:sp16,Genus:sp8,0.05476
Genus:sp16,Genus:sp9,0.04433
Genus:sp17,Genus:sp10,0.04714
Genus:sp17,Genus:sp11,0.04803
Genus:sp17,Genus:sp12,0.0444
Genus:sp17,Genus:sp13,0.04902
Genus:sp17,Genus:sp14,0.05331
Genus:sp17,Genus:sp15,0.06138
Genus:sp17,Genus:sp16,0.05766
Genus:sp17,Genus:sp17,0.04796
Genus:sp17,Genus:sp18,0.06009
Genus:sp17,Genus:sp19,0.0507
Genus:sp17,Genus:sp2,0.03016
Genus:sp17,Genus:sp20,0.04585
Genus:sp17,Genus:sp21,0.04878
Genus:sp17,Genus:sp22,0.05049
Genus:sp17,Genus:sp23,0.04487
Genus:sp17,Genus:sp24,0.04903
Genus:sp17,Genus:sp25,0.04495
Genus:sp17,Genus:sp26,0.05787
Genus:sp17,Genus:sp27,0.0481
Genus:sp17,Genus:sp28,0.05024
Genus:sp17,Genus:sp29,0.04688
Genus:sp17,Genus:sp3,0.05809
Genus:sp17,Genus:sp30,0.04566
Genus:sp17,Genus:sp31,0.04598
Genus:sp17,Genus:sp32,0.05874
Genus:sp17,Genus:sp33,0.04491
Genus:sp17,Genus:sp34,0.04833
Genus:sp17,Genus:sp35,0.04424
Genus:sp17,Genus:sp36,0.05814
Genus:sp17,Genus:sp37,0.05278
Genus:sp17,Genus:sp38,0.04283
Genus:sp17,Genus:sp39,0.05632
Genus:sp17,Genus:sp4,0.04485
Genus:sp17,Genus:sp40,0.04252
Genus:sp17,Genus:sp41,0.04694
Genus:sp17,Genus:sp42,0.05569
Genus:sp17,Genus:sp43,0.016
Genus:sp17,Genus:sp44,0.06014
Genus:sp17,Genus:sp45,0.05222
Genus:sp17,Genus:sp46,0.05645
Genus:sp17,Genus:sp47,0.05036
Genus:sp17,Genus:sp48,0.02187
Genus:sp17,Genus:sp49,0.04443
Genus:sp17,Genus:sp5,0.05096
Genus:sp17,Genus:sp50,0.04726
Genus:sp17,Genus:sp51,0.05272
Genus:sp17,Genus:sp52,0.06235
Genus:sp17,Genus:sp53,0.05039
Genus:sp17,Genus:sp54,0.0215
Genus:sp17,Genus:sp55,0.0494
Genus:sp17,Genus:sp56,0.04434
Genus:sp17,Genus:sp57,0.05496
Genus:sp17,Genus:sp58,0.04376
Genus:sp17,Genus:sp59,0.04447
Genus:sp17,Genus:sp6,0.04969
Genus:sp17,Genus:sp60,0.04655
Genus:sp17,Genus:sp61,0.04607
